id_bien;num_voie;voie;code_postal;surface_totale;type_local;total_piece;id_codedep_codecom
709;6 ;RUE LAMARTINE;6000;35.02;Appartement;2;06088
710;13 ;AV CARAVADOSSI;6000;114.02;Appartement;5;06088
711;4 ;RUE RUSCA;6300;58.27;Appartement;3;06088
712;1 ;PARC LISERB;6000;142.86;Appartement;3;06088
713;8 ;BD DE RIQUIER;6300;34.02;Appartement;2;06088
714;14 ;RUE MARCEAU;6000;59.25;Appartement;2;06088
715;3 ;RUE FODERE;6300;26.75;Appartement;2;06088
716;9002 ;ILOT GUIGONIS ST FRANCOIS;6300;56.05;Appartement;2;06088
717;11 ;RUE TRACHEL;6000;51.15;Appartement;2;06088
718;9 ;RUE DIDEROT;6000;27.03;Appartement;1;06088
719;3 ;RUE FODERE;6300;22.24;Appartement;2;06088
720;71 ;BD CIMIEZ;6000;140.7;Appartement;4;06088
721;7 ;CHE DES CRETES;6300;35.5;Appartement;1;06088
722;21 ;BD FRANCK PILATTE;6300;68.6;Appartement;3;06088
723;19 ;BD RAIMBALDI;6000;73.07;Appartement;3;06088
724;54 ;BD GENERAL LOUIS DELFINO;6300;53.37;Appartement;2;06088
725;3 ;RUE JULES GILLY;6300;83.52;Appartement;4;06088
726;5221 ; IBAC SUPERIEUR;6950;109;Maison;4;06060
727;22 ;RUE L HOTEL POSTES;6000;125.28;Appartement;5;06088
728;7 ;RUE VILLENEUVE;6000;53.72;Appartement;2;06088
729;2 ;RUE BARRALIS;6000;41.51;Appartement;2;06088
730;11 ;HLM RUE CH BAUDELAIRE;6100;60.34;Appartement;3;06088
731;10 ;AV MARECHAL FOCH;6000;25.49;Appartement;1;06088
732;1 ;RUE GASTON ARNULF;6340;74.41;Appartement;3;06149
733;21 ;RUE EMMANUEL PHILIBERT;6300;17.55;Appartement;1;06088
734;21 ;AV DE LA REPUBLIQUE;6300;36.22;Appartement;3;06088
735;6 ;RUE FRANCOIS CARLO;6000;28.89;Appartement;1;06088
736;54 ;RUE DE FRANCE;6000;56.32;Appartement;3;06088
737;78 ;BD GENERAL LOUIS DELFINO;6300;33.53;Appartement;2;06088
738;10 ;AV DURANTE;6000;27;Appartement;7;06088
739;1 ;AV CHATEAUBRIAND;6100;73.43;Appartement;3;06088
740;6 ;RUE ABBE SALVETTI;6300;16.8;Appartement;1;06088
741;39 ;RUE GIOFFREDO;6000;39.79;Appartement;1;06088
742;15 ;BD STALINGRAD;6340;69;Appartement;3;06149
743;3 ;RUE COLONNA D ISTRIA;6300;41.01;Appartement;3;06088
744;136 ;BD GAMBETTA;6000;54.49;Appartement;3;06088
745;7 ;RUE BERLIOZ;6000;41.27;Appartement;2;06088
746;7 ;AV ANTONIA AUGUSTA;6000;23.04;Appartement;1;06088
747;3 ;RUE MARTIN SEYTOUR;6300;27.08;Appartement;1;06088
748;99 ;AV HESPERIDES;6300;43.08;Appartement;2;06088
749;16 ;AV NOTRE DAME;6000;55.32;Appartement;3;06088
750;4 ;QUAI PAPACINO;6300;38.78;Appartement;2;06088
